main profile,friend profile_,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost
100001531730648,1343880441_,1,0,0,0,0,0,0,0,0,0
100001531730648,1344063759_,0,0,0,0,0,0,0,0,0,0
100001531730648,1346702218_,0,0,0,0,0,0,0,0,0,0
100001531730648,1355439198_,0,0,0,0,0,0,0,0,0,0
100001531730648,1355634281_,5,0,0,0,2,0,17,0,0,0
100001531730648,1356366388_,1,0,0,0,0,0,0,0,0,0
100001531730648,1356823531_,0,0,0,0,0,0,0,0,0,0
100001531730648,1368145505_,0,0,0,0,0,0,0,0,0,0
100001531730648,1370847063_,3,0,0,0,2,0,0,0,0,0
100001531730648,1371540667_,0,0,0,0,0,0,0,0,0,0
100001531730648,1383284369_,0,0,0,0,0,1,0,0,0,0
100001531730648,1390218496_,0,0,0,0,0,0,0,0,0,0
100001531730648,1397410949_,0,0,0,0,0,0,0,0,0,0
100001531730648,1407102437_,0,0,0,0,0,0,0,0,0,0
100001531730648,1417010213_,2,0,0,0,0,0,0,0,0,0
100001531730648,1427961583_,0,0,0,0,0,0,0,0,0,0
100001531730648,1439710589_,0,0,0,0,0,0,0,0,0,0
100001531730648,1440276183_,1,0,0,0,0,0,0,0,0,0
100001531730648,1448384231_,0,0,0,0,0,0,0,0,0,0
100001531730648,1458034210_,0,0,0,0,0,0,0,0,0,0
100001531730648,1465307965_,0,0,0,0,0,0,0,0,0,0
100001531730648,1481956786_,0,0,0,0,0,0,0,0,1,0
100001531730648,1499908219_,0,0,0,0,0,0,0,0,0,0
100001531730648,1504276313_,0,0,0,174,0,0,0,0,0,0
100001531730648,1511453957_,0,0,0,0,0,0,0,0,0,0
100001531730648,1514649889_,1,0,0,0,0,0,0,0,0,0
100001531730648,1531020651_,2,0,0,0,0,0,0,0,0,0
100001531730648,1535130454_,1,0,0,0,0,0,0,0,0,0
100001531730648,1535228840_,0,0,0,0,0,0,0,0,0,0
100001531730648,1537502995_,0,0,0,0,0,0,0,0,0,0
100001531730648,1541352679_,16,0,0,547,0,0,0,0,0,0
100001531730648,1544000983_,0,0,1,127,0,0,0,0,0,0
100001531730648,1556354841_,0,0,0,0,0,0,0,0,0,0
100001531730648,1563753531_,0,0,0,0,0,0,0,0,0,0
100001531730648,1584190905_,1,0,0,0,1,0,0,0,0,0
100001531730648,1590000140_,0,0,0,0,0,0,0,0,0,0
100001531730648,1597982154_,0,0,0,0,0,0,0,0,0,0
100001531730648,1611673845_,1,0,0,192,0,1,0,0,0,0
100001531730648,1618354155_,4,0,2,1385,1,1,9,0,1,0
100001531730648,1639025468_,0,0,1,0,0,0,0,0,0,0
100001531730648,1643164772_,1,0,0,82,0,0,0,0,0,0
100001531730648,1648946768_,0,0,0,0,0,0,0,0,0,0
100001531730648,1649661666_,0,0,0,0,0,0,0,0,0,0
100001531730648,1653354451_,0,0,0,0,0,0,0,0,0,0
100001531730648,1741838201_,0,0,0,0,0,0,0,0,0,0
100001531730648,1746258804_,0,0,0,0,0,0,0,0,0,0
100001531730648,1794816334_,0,0,0,0,0,0,0,0,0,0
100001531730648,1798243559_,0,0,0,0,0,0,0,0,0,0
100001531730648,1824735126_,0,0,0,0,0,0,0,0,0,0
100001531730648,1825483925_,1,0,0,0,0,0,0,0,0,0
100001531730648,1825522861_,1,0,0,0,0,0,0,0,0,0
100001531730648,1837133174_,2,0,0,101,1,0,0,0,0,0
100001531730648,100000035163095_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000038757830_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000046572337_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000070054978_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000074561629_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000093301114_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000105832498_,0,0,0,245,0,0,0,0,0,0
100001531730648,100000129091420_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000211419811_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000289023673_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000294205095_,0,0,1,0,0,0,0,0,0,0
100001531730648,100000303667390_,0,0,0,0,0,0,0,0,0,0
100001531730648,100000304733469_,0,0,0,0,0,0,0,0,0,0
